,Lambda,Feature,Aggregation Type,Attack Mean,Benign Mean,Total Mean
0,0.1,Variance,SRC IP,0.0019068500079866615,-1.9682854239336256e-06,0.000952440861281364
1,0.1,Variance,Channel,0.001955950389534076,-0.0001301636754978476,0.0009128933570181143
2,3.0,TCP RST,Channel,0.0013650984981084155,0.0,0.0006825492490542078
3,5.0,TCP RST,Channel,0.0013404708237041586,0.0,0.0006702354118520793
4,1.0,TCP RST,Channel,0.001313157769745319,0.0,0.0006565788848726595
5,0.1,Radius,Channel,0.0014499631865460185,-0.0002500867764067717,0.0005999382050696233
6,0.1,TCP RST,Socket,0.0010754365459132106,-2.6891155871746175e-05,0.0005242726950207323
7,0.01,TCP RST,Socket,0.0009645581661238893,0.0,0.00048227908306194465
8,5.0,Weight,Channel,0.0010211179488206776,-0.00015886181960412813,0.00043112806460827475
9,5.0,Weight,SRC IP,0.0009705520657967138,-0.0001815830450895395,0.00039448451035358715
10,5.0,Weight (JIT),DST IP (JIT),0.0008609999533465197,-0.00010610548869119611,0.00037744723232766177
11,0.01,TCP RST,SRC IP,0.000750916005826972,1.8960865477165094e-06,0.00037640604618734423
12,1.0,TCP RST,Socket,0.0007507876021243569,0.0,0.00037539380106217847
13,3.0,TCP Flag count,Channel,0.0011050352217923864,-0.00036016634664236085,0.0003724344375750128
14,0.1,TCP RST,Channel,0.0009371312837268187,-0.0002221792732189091,0.00035747600525395484
15,3.0,Weight,Channel,0.0008719740845319292,-0.00015911684809213005,0.00035642861821989953
16,0.01,Variance,SRC IP,0.0007247458843039155,-1.7772204008320903e-05,0.00035348684014779733
17,3.0,Weight,DST IP,0.000777191081937541,-7.96411049022522e-05,0.00034877498851764436
18,0.01,Variance,Channel,0.000676600223444091,1.889970674742594e-05,0.00034774996509575847
19,0.1,TCP Flag count,Channel,0.0011722657154844187,-0.0004911440514809277,0.0003405608320017455
20,3.0,TCP RST,Socket,0.0006785772380746004,0.0,0.0003392886190373002
21,5.0,Weight (JIT),SRC IP (JIT),0.00048333773725046486,0.00016894351435479014,0.0003261406258026275
22,5.0,TCP RST,Socket,0.0006518739304003715,0.0,0.00032593696520018576
23,1.0,TCP Flag count,Channel,0.0010857147823225492,-0.0004425058857954675,0.00032160444826354084
24,3.0,Weight,SRC IP,0.0009317369766532865,-0.00030005620837692334,0.0003158403841381816
25,5.0,Weight,DST IP,0.0008363424653516953,-0.00022951181055009954,0.0003034153274007979
26,3.0,Weight (JIT),DST IP (JIT),0.0007375797172306574,-0.00017225618508111702,0.00028266176607477016
27,0.01,TCP Flag count,Channel,0.001080751150527937,-0.0005385757048595955,0.0002710877228341707
28,3.0,TCP RST,SRC IP,0.00045596192838580054,1.9536775269099288e-05,0.00023774935182744992
29,3.0,25th QDS,DST IP,0.0010791512248180687,-0.0006073167619361651,0.00023591723144095178
30,5.0,TCP Flag count,Channel,0.0011078283033599135,-0.0006392533390309357,0.0002342874821644889
31,0.1,TCP RST,SRC IP,0.0005221235554177993,-5.6381379487832794e-05,0.00023287108796498325
32,1.0,Weight (JIT),DST IP (JIT),0.0004455710066476428,5.589158496794462e-06,0.00022558008257221864
33,5.0,Weight (JIT),Channel (JIT),0.0005400503410567607,-0.00010131703761487364,0.00021936665172094352
34,1.0,25th QDS,DST IP,0.0009953515755041057,-0.0005828623902682229,0.00020624459261794144
35,0.01,Radius,Channel,0.0005293684277709332,-0.00012301076885467023,0.00020317882945813145
36,3.0,Weight (JIT),SRC IP (JIT),0.00043573578181798056,-3.333017318289218e-05,0.0002012028043175442
37,1.0,TCP RST,SRC IP,0.0003962961539674506,2.607375667674321e-06,0.00019945176481756246
38,0.01,25th QDS,DST IP,0.0010410980230072542,-0.0006448851845751335,0.00019810641921606033
39,5.0,Radius,Channel,0.00033504610184054715,4.400225018774196e-05,0.00018952417601414455
40,5.0,TCP RST,SRC IP,0.00039880312931928264,-3.2891114336335004e-05,0.00018295600749147382
41,5.0,25th QDS,DST IP,0.0011286364131449663,-0.0007652942307459071,0.0001816710911995296
42,1.0,Weight,DST IP,0.000394427657958962,-4.2264369030812446e-05,0.00017608164446407477
43,0.01,Radius,Socket,0.0003736817019380689,-4.24561099178891e-05,0.00016561279601008991
44,1.0,Radius,Channel,0.0003524738184159785,-2.49968557716494e-05,0.00016373848132216455
