Lambda;Feature;Dimensionality;Identifier;Aggregation Type
5;Weight;1D;MIstat;SRC IP
5;Mean;1D;MIstat;SRC IP
5;Variance;1D;MIstat;SRC IP
3;Weight;1D;MIstat;SRC IP
3;Mean;1D;MIstat;SRC IP
3;Variance;1D;MIstat;SRC IP
1;Weight;1D;MIstat;SRC IP
1;Mean;1D;MIstat;SRC IP
1;Variance;1D;MIstat;SRC IP
0.1;Weight;1D;MIstat;SRC IP
0.1;Mean;1D;MIstat;SRC IP
0.1;Variance;1D;MIstat;SRC IP
0.01;Weight;1D;MIstat;SRC IP
0.01;Mean;1D;MIstat;SRC IP
0.01;Variance;1D;MIstat;SRC IP
5;Weight;1D2D;HHstat;Channel
5;Mean;1D2D;HHstat;Channel
5;Variance;1D2D;HHstat;Channel
5;Radius;1D2D;HHstat;Channel
5;Magnitude;1D2D;HHstat;Channel
5;Covariance;1D2D;HHstat;Channel
5;Pearson CC;1D2D;HHstat;Channel
3;Weight;1D2D;HHstat;Channel
3;Mean;1D2D;HHstat;Channel
3;Variance;1D2D;HHstat;Channel
3;Radius;1D2D;HHstat;Channel
3;Magnitude;1D2D;HHstat;Channel
3;Covariance;1D2D;HHstat;Channel
3;Pearson CC;1D2D;HHstat;Channel
1;Weight;1D2D;HHstat;Channel
1;Mean;1D2D;HHstat;Channel
1;Variance;1D2D;HHstat;Channel
1;Radius;1D2D;HHstat;Channel
1;Magnitude;1D2D;HHstat;Channel
1;Covariance;1D2D;HHstat;Channel
1;Pearson CC;1D2D;HHstat;Channel
0.1;Weight;1D2D;HHstat;Channel
0.1;Mean;1D2D;HHstat;Channel
0.1;Variance;1D2D;HHstat;Channel
0.1;Radius;1D2D;HHstat;Channel
0.1;Magnitude;1D2D;HHstat;Channel
0.1;Covariance;1D2D;HHstat;Channel
0.1;Pearson CC;1D2D;HHstat;Channel
0.01;Weight;1D2D;HHstat;Channel
0.01;Mean;1D2D;HHstat;Channel
0.01;Variance;1D2D;HHstat;Channel
0.01;Radius;1D2D;HHstat;Channel
0.01;Magnitude;1D2D;HHstat;Channel
0.01;Covariance;1D2D;HHstat;Channel
0.01;Pearson CC;1D2D;HHstat;Channel
5;Weight (JIT);1D;HT_jit;Channel (JIT)
5;Mean (JIT);1D;HT_jit;Channel (JIT)
5;Variance (JIT);1D;HT_jit;Channel (JIT)
5;Median (JIT);1D;HT_jit;Channel (JIT)
3;Weight (JIT);1D;HT_jit;Channel (JIT)
3;Mean (JIT);1D;HT_jit;Channel (JIT)
3;Variance (JIT);1D;HT_jit;Channel (JIT)
3;Median (JIT);1D;HT_jit;Channel (JIT)
1;Weight (JIT);1D;HT_jit;Channel (JIT)
1;Mean (JIT);1D;HT_jit;Channel (JIT)
1;Variance (JIT);1D;HT_jit;Channel (JIT)
1;Median (JIT);1D;HT_jit;Channel (JIT)
0.1;Weight (JIT);1D;HT_jit;Channel (JIT)
0.1;Mean (JIT);1D;HT_jit;Channel (JIT)
0.1;Variance (JIT);1D;HT_jit;Channel (JIT)
0.1;Median (JIT);1D;HT_jit;Channel (JIT)
0.01;Weight (JIT);1D;HT_jit;Channel (JIT)
0.01;Mean (JIT);1D;HT_jit;Channel (JIT)
0.01;Variance (JIT);1D;HT_jit;Channel (JIT)
0.01;Median (JIT);1D;HT_jit;Channel (JIT)
5;Weight;1D2D;Ht_Hp;Socket
5;Mean;1D2D;Ht_Hp;Socket
5;Variance;1D2D;Ht_Hp;Socket
5;Radius;1D2D;Ht_Hp;Socket
5;Magnitude;1D2D;Ht_Hp;Socket
5;Covariance;1D2D;Ht_Hp;Socket
5;Pearson CC;1D2D;Ht_Hp;Socket
3;Weight;1D2D;Ht_Hp;Socket
3;Mean;1D2D;Ht_Hp;Socket
3;Variance;1D2D;Ht_Hp;Socket
3;Radius;1D2D;Ht_Hp;Socket
3;Magnitude;1D2D;Ht_Hp;Socket
3;Covariance;1D2D;Ht_Hp;Socket
3;Pearson CC;1D2D;Ht_Hp;Socket
1;Weight;1D2D;Ht_Hp;Socket
1;Mean;1D2D;Ht_Hp;Socket
1;Variance;1D2D;Ht_Hp;Socket
1;Radius;1D2D;Ht_Hp;Socket
1;Magnitude;1D2D;Ht_Hp;Socket
1;Covariance;1D2D;Ht_Hp;Socket
1;Pearson CC;1D2D;Ht_Hp;Socket
0.1;Weight;1D2D;Ht_Hp;Socket
0.1;Mean;1D2D;Ht_Hp;Socket
0.1;Variance;1D2D;Ht_Hp;Socket
0.1;Radius;1D2D;Ht_Hp;Socket
0.1;Magnitude;1D2D;Ht_Hp;Socket
0.1;Covariance;1D2D;Ht_Hp;Socket
0.1;Pearson CC;1D2D;Ht_Hp;Socket
0.01;Weight;1D2D;Ht_Hp;Socket
0.01;Mean;1D2D;Ht_Hp;Socket
0.01;Variance;1D2D;Ht_Hp;Socket
0.01;Radius;1D2D;Ht_Hp;Socket
0.01;Magnitude;1D2D;Ht_Hp;Socket
0.01;Covariance;1D2D;Ht_Hp;Socket
0.01;Pearson CC;1D2D;Ht_Hp;Socket
5;Weight (JIT);1D;HT_MI_jit;SRC IP (JIT)
5;Mean (JIT);1D;HT_MI_jit;SRC IP (JIT)
5;Variance (JIT);1D;HT_MI_jit;SRC IP (JIT)
5;Median (JIT);1D;HT_MI_jit;SRC IP (JIT)
3;Weight (JIT);1D;HT_MI_jit;SRC IP (JIT)
3;Mean (JIT);1D;HT_MI_jit;SRC IP (JIT)
3;Variance (JIT);1D;HT_MI_jit;SRC IP (JIT)
3;Median (JIT);1D;HT_MI_jit;SRC IP (JIT)
1;Weight (JIT);1D;HT_MI_jit;SRC IP (JIT)
1;Mean (JIT);1D;HT_MI_jit;SRC IP (JIT)
1;Variance (JIT);1D;HT_MI_jit;SRC IP (JIT)
1;Median (JIT);1D;HT_MI_jit;SRC IP (JIT)
0.1;Weight (JIT);1D;HT_MI_jit;SRC IP (JIT)
0.1;Mean (JIT);1D;HT_MI_jit;SRC IP (JIT)
0.1;Variance (JIT);1D;HT_MI_jit;SRC IP (JIT)
0.1;Median (JIT);1D;HT_MI_jit;SRC IP (JIT)
0.01;Weight (JIT);1D;HT_MI_jit;SRC IP (JIT)
0.01;Mean (JIT);1D;HT_MI_jit;SRC IP (JIT)
0.01;Variance (JIT);1D;HT_MI_jit;SRC IP (JIT)
0.01;Median (JIT);1D;HT_MI_jit;SRC IP (JIT)
5;Weight (JIT);1D;HT_Hp_jit;Socket (JIT)
5;Mean (JIT);1D;HT_Hp_jit;Socket (JIT)
5;Variance (JIT);1D;HT_Hp_jit;Socket (JIT)
5;Median (JIT);1D;HT_Hp_jit;Socket (JIT)
3;Weight (JIT);1D;HT_Hp_jit;Socket (JIT)
3;Mean (JIT);1D;HT_Hp_jit;Socket (JIT)
3;Variance (JIT);1D;HT_Hp_jit;Socket (JIT)
3;Median (JIT);1D;HT_Hp_jit;Socket (JIT)
1;Weight (JIT);1D;HT_Hp_jit;Socket (JIT)
1;Mean (JIT);1D;HT_Hp_jit;Socket (JIT)
1;Variance (JIT);1D;HT_Hp_jit;Socket (JIT)
1;Median (JIT);1D;HT_Hp_jit;Socket (JIT)
0.1;Weight (JIT);1D;HT_Hp_jit;Socket (JIT)
0.1;Mean (JIT);1D;HT_Hp_jit;Socket (JIT)
0.1;Variance (JIT);1D;HT_Hp_jit;Socket (JIT)
0.1;Median (JIT);1D;HT_Hp_jit;Socket (JIT)
0.01;Weight (JIT);1D;HT_Hp_jit;Socket (JIT)
0.01;Mean (JIT);1D;HT_Hp_jit;Socket (JIT)
0.01;Variance (JIT);1D;HT_Hp_jit;Socket (JIT)
0.01;Median (JIT);1D;HT_Hp_jit;Socket (JIT)
5;Weight;1D;DT_MI;DST IP
5;Mean;1D;DT_MI;DST IP
5;Variance;1D;DT_MI;DST IP
3;Weight;1D;DT_MI;DST IP
3;Mean;1D;DT_MI;DST IP
3;Variance;1D;DT_MI;DST IP
1;Weight;1D;DT_MI;DST IP
1;Mean;1D;DT_MI;DST IP
1;Variance;1D;DT_MI;DST IP
0.1;Weight;1D;DT_MI;DST IP
0.1;Mean;1D;DT_MI;DST IP
0.1;Variance;1D;DT_MI;DST IP
0.01;Weight;1D;DT_MI;DST IP
0.01;Mean;1D;DT_MI;DST IP
0.01;Variance;1D;DT_MI;DST IP
5;Weight (JIT);1D;DT_MI_jit;DST IP (JIT)
5;Mean (JIT);1D;DT_MI_jit;DST IP (JIT)
5;Variance (JIT);1D;DT_MI_jit;DST IP (JIT)
5;Median (JIT);1D;DT_MI_jit;DST IP (JIT)
3;Weight (JIT);1D;DT_MI_jit;DST IP (JIT)
3;Mean (JIT);1D;DT_MI_jit;DST IP (JIT)
3;Variance (JIT);1D;DT_MI_jit;DST IP (JIT)
3;Median (JIT);1D;DT_MI_jit;DST IP (JIT)
1;Weight (JIT);1D;DT_MI_jit;DST IP (JIT)
1;Mean (JIT);1D;DT_MI_jit;DST IP (JIT)
1;Variance (JIT);1D;DT_MI_jit;DST IP (JIT)
1;Median (JIT);1D;DT_MI_jit;DST IP (JIT)
0.1;Weight (JIT);1D;DT_MI_jit;DST IP (JIT)
0.1;Mean (JIT);1D;DT_MI_jit;DST IP (JIT)
0.1;Variance (JIT);1D;DT_MI_jit;DST IP (JIT)
0.1;Median (JIT);1D;DT_MI_jit;DST IP (JIT)
0.01;Weight (JIT);1D;DT_MI_jit;DST IP (JIT)
0.01;Mean (JIT);1D;DT_MI_jit;DST IP (JIT)
0.01;Variance (JIT);1D;DT_MI_jit;DST IP (JIT)
0.01;Median (JIT);1D;DT_MI_jit;DST IP (JIT)
